Step,RuleName,Family,AdditionalRowsRemoved,CumulativeRowsRemoved,RowsRemaining,AvgPerDay,ReductionPct,WinnerPositionsLost
1,STREAM_P90_100,StreamPctBand,680,680,5848,106.32727272727273,10.416666666666666,0
2,CZ0_0.5__SZ0.5_1,CrossZ,191,871,5657,102.85454545454546,13.342524509803921,0
3,P50_67__P33_50,CrossPct,170,1041,5487,99.76363636363637,15.946691176470589,0
4,CORELOAD_EQ_10,CoreExact,144,1185,5343,97.14545454545454,18.152573529411764,0
5,P20_33__P20_33,CrossPct,124,1309,5219,94.89090909090909,20.052083333333332,0
6,STREAMLOAD_EQ_7,StreamExact,115,1424,5104,92.8,21.813725490196077,0
7,P90_100__P50_67,CrossPct,97,1521,5007,91.03636363636363,23.299632352941178,0
8,P80_90__P20_33,CrossPct,96,1617,4911,89.2909090909091,24.770220588235293,0
9,P67_80__P00_10,CrossPct,96,1713,4815,87.54545454545455,26.240808823529413,0
10,CZ-1_-0.5__SZ-1.5_-1,CrossZ,88,1801,4727,85.94545454545455,27.588848039215687,0
11,P10_20__P50_67,CrossPct,85,1886,4642,84.4,28.89093137254902,0
12,CZ-1_-0.5__SZ1_1.5,CrossZ,81,1967,4561,82.92727272727272,30.131740196078432,0
13,CZ-0.5_0__SZ-0.5_0,CrossZ,73,2040,4488,81.6,31.25,0
14,P00_10__P33_50,CrossPct,69,2109,4419,80.34545454545454,32.306985294117645,0
15,P50_67__P00_10,CrossPct,66,2175,4353,79.14545454545454,33.318014705882355,0
16,P50_67__P67_80,CrossPct,63,2238,4290,78.0,34.283088235294116,0
17,CZ1_1.5__SZ1_1.5,CrossZ,58,2296,4232,76.94545454545455,35.17156862745098,0
18,P50_67__P80_90,CrossPct,55,2351,4177,75.94545454545455,36.0140931372549,0
19,CZ-1.5_-1__SZ-1.5_-1,CrossZ,50,2401,4127,75.03636363636363,36.78002450980392,0
20,P33_50__P80_90,CrossPct,49,2450,4078,74.14545454545454,37.53063725490196,0
21,CZ0_0.5__SZ-0.5_0,CrossZ,46,2496,4032,73.30909090909091,38.23529411764706,0
22,CORELOAD_EQ_30,CoreExact,45,2541,3987,72.49090909090908,38.924632352941174,0
23,P33_50__P00_10,CrossPct,39,2580,3948,71.78181818181818,39.52205882352941,0
24,CZ1.5_99__SZ-99_-1.5,CrossZ,37,2617,3911,71.10909090909091,40.088848039215684,0
25,P67_80__P80_90,CrossPct,35,2652,3876,70.47272727272727,40.625,0
26,CZ1.5_99__SZ0_0.5,CrossZ,34,2686,3842,69.85454545454546,41.145833333333336,0
27,CZ-99_-1.5__SZ1_1.5,CrossZ,30,2716,3812,69.30909090909091,41.60539215686274,0
28,CZ1.5_99__SZ-0.5_0,CrossZ,28,2744,3784,68.8,42.03431372549019,0
29,CZ-99_-1.5__SZ-1.5_-1,CrossZ,24,2768,3760,68.36363636363636,42.40196078431372,0
30,CORELOAD_EQ_31,CoreExact,23,2791,3737,67.94545454545455,42.75428921568628,0
31,CZ-1.5_-1__SZ-99_-1.5,CrossZ,22,2813,3715,67.54545454545455,43.091299019607845,0
32,P10_20__P80_90,CrossPct,18,2831,3697,67.21818181818182,43.36703431372549,0
33,CZ0.5_1__SZ-99_-1.5,CrossZ,17,2848,3680,66.9090909090909,43.627450980392155,0
34,P90_100__P80_90,CrossPct,12,2860,3668,66.69090909090909,43.81127450980392,0
35,CZ0_0.5__SZ-99_-1.5,CrossZ,12,2872,3656,66.47272727272727,43.995098039215684,0
36,P80_90__P80_90,CrossPct,9,2881,3647,66.30909090909091,44.13296568627451,0
37,P10_20__P10_20,CrossPct,8,2889,3639,66.16363636363636,44.255514705882355,0
38,CZ-0.5_0__SZ-99_-1.5,CrossZ,7,2896,3632,66.03636363636363,44.36274509803921,0
39,CORELOAD_EQ_32,CoreExact,6,2902,3626,65.92727272727272,44.4546568627451,0
40,CORELOAD_EQ_6,CoreExact,5,2907,3621,65.83636363636364,44.53125,0
41,P00_10__P10_20,CrossPct,4,2911,3617,65.76363636363637,44.59252450980392,0
42,CZ0.5_1__SZ1_1.5,CrossZ,3,2914,3614,65.7090909090909,44.638480392156865,0
43,CORELOAD_EQ_7,CoreExact,3,2917,3611,65.65454545454546,44.68443627450981,0
44,CZ-0.5_0__SZ1_1.5,CrossZ,2,2919,3609,65.61818181818182,44.71507352941177,0
45,CZ1.5_99__SZ1_1.5,CrossZ,1,2920,3608,65.6,44.73039215686274,0
