Step,RuleName,Family,AdditionalRowsRemoved,CumulativeRowsRemoved,RowsRemaining,AvgPlaysPerDay,ReductionPct,WinnerMembersLost
1,MemberHighCount=3__StreamLoadBand=4,Pair,860,860,9964,181.16363636363636,7.945306725794531,0
2,DoubleRole=DOUBLE_LOW__StreamPctBucket=P50_67,Pair,844,1704,9120,165.8181818181818,15.742793791574279,0
3,DoubleRole=DOUBLE_LOW__StreamPctBucket=P33_50,Pair,653,2357,8467,153.94545454545454,21.77568366592757,0
4,MemberMultisetSeedOverlap=0__MemberOddCount=1,Pair,561,2918,7906,143.74545454545455,26.95861049519586,0
5,MemberSumBand=17_20__StreamPctBucket=P20_33,Pair,490,3408,7416,134.83636363636364,31.485587583148558,0
6,MemberParityMatchSeed=MISMATCH__CorePctBucket=P50_67,Pair,404,3812,7012,127.49090909090908,35.218033998521804,0
7,MemberHighCount=1__MemberSeedDeltaBand=9_12,Pair,376,4188,6636,120.65454545454546,38.69179600886918,0
8,MemberSeedDeltaBand=3_5__CorePctBucket=P67_80,Pair,370,4558,6266,113.92727272727272,42.11012564671101,0
9,MemberHighCount=2__CorePctBucket=P33_50,Pair,347,4905,5919,107.61818181818182,45.31596452328159,0
10,MemberSumParity=ODD__CorePctBucket=P10_20,Pair,304,5209,5615,102.0909090909091,48.124538063562454,0
11,MemberSeedDeltaBand=6_8__StreamPctBucket=P10_20,Pair,254,5463,5361,97.47272727272727,50.471175166297115,0
12,MemberOddCount=3__CorePctBucket=P33_50,Pair,243,5706,5118,93.05454545454545,52.71618625277162,0
13,DoubledDigitSeedCount=2__CoreLoadBand=11_20,Pair,221,5927,4897,89.03636363636363,54.757945306725794,0
14,DoubleRole=DOUBLE_LOW__MemberSeedDeltaBand=3_5__DoubledDigitSeedCount=0,Triple,179,6106,4718,85.78181818181818,56.41167775314117,0
15,CorePctBucket=P20_33__StreamLoadBand=4,Pair,170,6276,4548,82.69090909090909,57.98226164079823,0
16,DoubleRole=DOUBLE_LOW__StreamPctBucket=P00_10,Pair,158,6434,4390,79.81818181818181,59.4419807834442,0
17,MemberOddCount=1__StreamLoadBand=5,Pair,150,6584,4240,77.0909090909091,60.82779009608278,0
18,MemberSeedDeltaBand=9_12__CorePctBucket=P90_100,Pair,126,6710,4114,74.8,61.99186991869919,0
19,MemberSumBand=13_16__CorePctBucket=P67_80,Pair,123,6833,3991,72.56363636363636,63.12823355506282,0
20,MemberSeedSumDirection=EQ__MemberSumBand=21_PLUS,Pair,112,6945,3879,70.52727272727273,64.16297117516629,0
21,DoubleRole=DOUBLE_LOW__CoreLoadBand=11_20__StreamLoadBand=3,Triple,110,7055,3769,68.52727272727273,65.17923133776792,0
22,DoubleRole=DOUBLE_MID__MemberSeedDeltaBand=6_8__DoubledDigitSeedCount=1,Triple,106,7161,3663,66.6,66.15853658536585,0
23,MemberSeedDeltaBand=13_PLUS__StreamPctBucket=P50_67,Pair,100,7261,3563,64.78181818181818,67.08240946045824,0
24,DoubleRole=DOUBLE_HIGH__DoubledDigitInSeed=False__MemberMultisetSeedOverlap=2,Triple,92,7353,3471,63.10909090909091,67.93237250554324,0
25,MemberOddCount=4__MemberSeedDeltaBand=0_2,Pair,90,7443,3381,61.472727272727276,68.76385809312639,0
26,DoubleRole=DOUBLE_LOW__CorePctBucket=P20_33__StreamPctBucket=P67_80,Triple,87,7530,3294,59.89090909090909,69.56762749445676,0
27,StreamLoadBand=0_1__SeedSpreadBucket=MID_4_6,Pair,78,7608,3216,58.472727272727276,70.28824833702882,0
28,MemberSeedSumDirection=SEED_GT__CorePctBucket=P50_67,Pair,72,7680,3144,57.163636363636364,70.95343680709534,0
29,MemberHighCount=2__StreamLoadBand=5,Pair,71,7751,3073,55.872727272727275,71.60938654841094,0
30,MemberSeedDeltaBand=13_PLUS__CorePctBucket=P20_33,Pair,69,7820,3004,54.61818181818182,72.24685883222469,0
31,DoubleRole=DOUBLE_HIGH__CorePctBucket=P90_100__StreamPctBucket=P20_33,Triple,65,7885,2939,53.43636363636364,72.84737620103473,0
32,DoubledDigitHigh=LOW__MemberSumBand=21_PLUS,Pair,64,7949,2875,52.27272727272727,73.43865484109386,0
33,MemberSeedDeltaBand=3_5__CorePctBucket=P33_50,Pair,62,8011,2813,51.14545454545455,74.01145602365115,0
34,MemberSeedDeltaBand=9_12__CorePctBucket=P00_10,Pair,60,8071,2753,50.054545454545455,74.56577974870657,0
35,DoubleRole=DOUBLE_MID__CorePctBucket=P80_90__StreamPctBucket=P33_50,Triple,59,8130,2694,48.981818181818184,75.11086474501109,0
